P11,P12,P13,P21,P22,P23,P31,P32,P33,P41,P42,P43,R1,R2,R3,R4
-11632539.14,13954631.85,18873744.12,-20933217.22,1758033.859,16448031.87,-14374814.86,8534943.026,20772567.87,7370783.723,13035237.18,21925315.3,23578387.5,26205749.72,24670609.17,25585399.66
-11633218.71,13952219.77,18875124.86,-20934992.21,1756948.397,16445925.27,-14375236.03,8532364.134,20773368.5,7368463.465,13036772.99,21925171.77,23578619.39,26206240.21,24671023.98,25584925.97
-11633898.45,13949807.55,18876505.19,-20936767.03,1755863.166,16443818.33,-14375657.34,8529785.168,20774168.7,7366143.313,13038308.93,21925027.77,23578849.73,26206728.3,24671436.9,25584449.57
-11634578.34,13947395.19,18877885.09,-20938541.68,1754778.167,16441711.05,-14376078.81,8527206.129,20774968.46,7363823.266,13039845,21924883.31,23579081.95,26207219.18,24671847.75,25583976.3
-11635258.39,13944982.7,18879264.58,-20940316.16,1753693.398,16439603.41,-14376500.43,8524627.016,20775767.79,7361503.324,13041381.19,21924738.38,23579312.41,26207707.78,24672262.23,25583500.12
-11635936.64,13942571.78,18880648.87,-20942092.58,1752605.973,16437499.77,-14376920.31,8522048.753,20776572.13,7359182.174,13042915.89,21924598.82,23579546.88,26208201.43,24672678.36,25583028.19
-11636613.1,13940162.46,18882037.97,-20943870.93,1751515.892,16435400.11,-14377338.47,8519471.346,20777381.49,7356859.82,13044449.07,21924464.63,23579783.89,26208700.5,24673099.01,25582559.35
-11637289.72,13937752.99,18883426.64,-20945649.12,1750426.041,16433300.1,-14377756.77,8516893.864,20778190.42,7354537.571,13045982.38,21924329.97,23580021.82,26209197.52,24673516.39,25582091.19
-11637966.49,13935343.38,18884814.9,-20947427.14,1749336.422,16431199.75,-14378175.23,8514316.307,20778998.9,7352215.426,13047515.83,21924194.85,23580256.89,26209695.88,24673933.97,25581623.57
-11638643.42,13932933.64,18886202.74,-20949204.99,1748247.034,16429099.05,-14378593.84,8511738.676,20779806.95,7349893.385,13049049.41,21924059.26,23580497.43,26210191.43,24674353.99,25581152.68
-11639320.51,13930523.76,18887590.16,-20950982.68,1747157.877,16426998.01,-14379012.59,8509160.969,20780614.57,7347571.448,13050583.11,21923923.2,23580734.04,26210689.87,24674774.32,25580685.68
-11639997.75,13928113.74,18888977.16,-20952760.19,1746068.951,16424896.61,-14379431.5,8506583.189,20781421.75,7345249.616,13052116.95,21923786.68,23580972.14,26211186.72,24675192.26,25580214.9
-11640675.14,13925703.58,18890363.75,-20954537.54,1744980.256,16422794.87,-14379850.56,8504005.333,20782228.49,7342927.889,13053650.93,21923649.69,23581209.95,26211684.41,24675613.64,25579747.26
-11641352.69,13923293.28,18891749.92,-20956314.72,1743891.792,16420692.78,-14380269.77,8501427.403,20783034.8,7340606.266,13055185.03,21923512.23,23581447.42,26212180.17,24676032.04,25579278.68
-11642030.4,13920882.85,18893135.67,-20958091.73,1742803.559,16418590.35,-14380689.13,8498849.399,20783840.67,7338284.748,13056719.26,21923374.31,23581687.01,26212680.94,24676451.66,25578809.42
-11642708.27,13918472.28,18894521.01,-20959868.57,1741715.557,16416487.57,-14381108.64,8496271.321,20784646.1,7335963.335,13058253.63,21923235.91,23581924.64,26213178.57,24676870.8,25578339.57
-11643386.29,13916061.57,18895905.93,-20961645.25,1740627.786,16414384.44,-14381528.3,8493693.168,20785451.1,7333642.026,13059788.12,21923097.05,23582162.73,26213676.06,24677289.09,25577873.68
-11644064.46,13913650.72,18897290.43,-20963421.75,1739540.246,16412280.97,-14381948.11,8491114.941,20786255.66,7331320.823,13061322.75,21922957.73,23582401.14,26214173.85,24677708.54,25577403.7
-11644742.79,13911239.74,18898674.51,-20965198.09,1738452.937,16410177.14,-14382368.07,8488536.64,20787059.78,7328999.724,13062857.51,21922817.94,23582638.3,26214672.77,24678129.86,25576934.72
-11645421.28,13908828.61,18900058.18,-20966974.26,1737365.859,16408072.98,-14382788.18,8485958.264,20787863.47,7326678.73,13064392.4,21922677.68,23582876.95,26215168.37,24678549.3,25576468.99
-11646099.92,13906417.35,18901441.43,-20968750.26,1736279.011,16405968.46,-14383208.44,8483379.815,20788666.73,7324357.841,13065927.42,21922536.95,23583117.19,26215668.51,24678966.91,25575999.85
-11646778.72,13904005.96,18902824.26,-20970526.09,1735192.395,16403863.6,-14383628.86,8480801.292,20789469.54,7322037.057,13067462.57,21922395.76,23583356.19,26216165.53,24679387.05,25575531.87
-11647457.68,13901594.42,18904206.67,-20972301.75,1734106.01,16401758.39,-14384049.42,8478222.695,20790271.92,7319716.378,13068997.85,21922254.09,23583593.71,26216660.65,24679808.19,25575062.82
-11648136.79,13899182.75,18905588.66,-20974077.25,1733019.855,16399652.84,-14384470.13,8475644.024,20791073.87,7317395.804,13070533.27,21922111.97,23583833.98,26217160.39,24680226.56,25574595.57
-11648816.06,13896770.94,18906970.24,-20975852.57,1731933.932,16397546.94,-14384891,8473065.279,20791875.37,7315075.336,13072068.81,21921969.37,23584071.34,26217657.34,24680647.96,25574127.98
-11649495.48,13894359,18908351.4,-20977627.73,1730848.239,16395440.69,-14385312.01,8470486.46,20792676.45,7312754.972,13073604.49,21921826.31,23584311.71,26218156.56,24681068.34,25573659.82
